Analysis_domain,Reference,Analysis_interval,Avg_interval_biweekly,Heat_1988-2013_avg,Heat_1988-2013_std,Heat_1988-2013_trnd,Heat_1988-2013_trnd_sig,Heat_1982-1990_avg,Heat_1991-2000_avg,Heat_2001-2013_avg,Reference_file
North America Ocean-Coastal,Figure 7b,1988-2013,09-Aug,1053.5,3.3327,213.8,99,951.58,999.07,1119,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,23-Aug,1125.3,4.7084,225.33,99,1027.7,1065.4,1193.8,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,06-Sep,1145.7,6.8785,221.22,99,1053.3,1084.9,1213.9,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,20-Sep,1114.5,5.1113,214.58,99,1024.4,1056.6,1179.7,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,04-Oct,1037.7,2.3639,201.98,99,952.34,982.98,1099.5,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,18-Oct,936.79,0.546,187.65,99,855.51,883.18,996.78,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,01-Nov,822.59,5.3683,150.15,99,748.14,782.21,870.84,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,15-Nov,706.19,10.401,113.01,95,640.25,678.12,743,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,29-Nov,604.17,14.963,84.935,90,545.28,583.44,633.7,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,13-Dec,529.96,15.315,59.716,0,477.75,516.3,552.52,Fig7b_NAmerica.txt
North America Ocean-Coastal,Figure 7b,1988-2013,27-Dec,499.06,5.51,69.256,90,452.11,485.08,522.45,Fig7b_NAmerica.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,11-Jan,367.91,4.2451,83.66,99,322.27,345.12,395.99,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,25-Jan,344.32,2.7723,71.839,95,303.82,324.55,368.87,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,08-Feb,327.27,3.3248,60.534,95,297.4,308.84,348.34,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,22-Feb,313.57,1.4572,48.96,95,291.64,297.25,331.18,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,08-Mar,305.19,0.6603,46.049,95,287.06,289.19,321.68,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,22-Mar,299.85,1.6867,39.826,90,284.47,286.33,313.8,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,05-Apr,299.03,1.8425,35.928,0,285.16,286.05,312.21,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,19-Apr,307,1.703,36.325,0,299.36,290.78,321.25,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,03-May,326.51,0.7569,37.246,0,322.89,306.82,342.49,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,17-May,360.49,0.086,41.025,0,360.06,337.03,378.64,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,31-May,415.47,1.7683,51.649,0,418.16,386.48,437.15,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,14-Jun,490.5,4.5672,63.335,0,496.89,455.4,516.02,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,28-Jun,585.27,9.4041,84.204,90,597,540.6,616.92,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,12-Jul,690.47,11.094,102.84,95,705.95,636.94,728.08,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,26-Jul,793.03,16.021,130.44,95,804.32,730.76,838.34,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,09-Aug,875.22,18.538,147.23,95,882.79,806.83,926.07,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,23-Aug,925.89,21.026,169.07,99,921.18,851.91,983.89,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,06-Sep,938.13,22.826,186.39,99,924.96,862.13,999.63,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,20-Sep,910.69,20.674,206.96,99,886.73,831.8,976.91,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,04-Oct,842.69,15.968,207.58,99,815.68,765.81,908.06,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,18-Oct,747.55,8.8064,197.3,99,718.17,676.02,809.35,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,01-Nov,652.09,5.3305,163.59,99,626.71,590.91,705,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,15-Nov,570.26,3.1461,130.42,99,537.84,526.76,611.21,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,29-Nov,502.18,2.331,117.24,99,460.93,466.53,539.12,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,13-Dec,448.82,1.6026,103.58,99,417.57,415.36,481.77,Fig7c_Eurasia.txt
Eurasia Ocean-Coastal,Figure 7c,1988-2013,27-Dec,433.11,4.4052,94.249,95,409.9,404.65,462.63,Fig7c_Eurasia.txt
